"# ==========================================================================="
"# PLANTILLA DE EJEMPLO - Alta de Productos / Materias primas / Insumos"
"# ==========================================================================="
"# Borra estas notas y las filas de ejemplo; deja la fila de encabezados."
"# Sube el archivo en: Catalogos > Importar Excel/CSV > pestaña"
"# ""Proveedores y Productos"". Unica columna obligatoria: Nombre."
"# Cuenta inventario / Cuenta costo: codigo de tu plan de cuentas real"
"# (""115-01"" / ""509-01"" de abajo son solo ilustrativos); deja vacio si"
"# aun no usas el modulo de contabilidad. Mas detalle: LEEME_plantilla.md"
"# Requiere caducidad: 1 = si (entra a las alertas de caducidad por lote),"
"# 0 o vacio = no. Tambien acepta si/no."
"# Abastecimiento: fabricado / comprado. Semiterminado: si / no (granel y similares)."
"# Estas 2 columnas requieren la migracion sql/2026-10-18; si aun no la corres, borralas."
"# Las ultimas 3 filas arman despues el ejemplo de BOM en plantilla_bom.csv."
Nombre,SKU,Tipo,Proveedor,Precio,Precio de venta,Moneda,Unidad,Tasa IVA,Tasa IEPS,Cuenta inventario,Cuenta costo,Stock minimo,Tiempo entrega dias,Cantidad minima compra,Activo,Requiere caducidad,Abastecimiento,Semiterminado,Notas
CMC,MP-CMC,materia prima,ALKEM,180,,MXN,Kilogramos,16%,0,115-01,509-01,25,7,25,si,0,comprado,no,Carboximetilcelulosa - espesante
Glicerina,MP-GLICERINA,materia prima,ALKEM,60,,MXN,Litros,16%,0,115-01,509-01,50,10,200,si,0,comprado,no,Glicerina USP
Propilenglicol,MP-PROPILENGLICOL,materia prima,ALKEM,50,,MXN,Litros,16%,0,,,50,10,200,si,0,comprado,no,Monopropilenglicol
Acido Citrico,MP-ACIDO-CITRICO,materia prima,ALKEM,160,,MXN,Kilogramos,16%,0,,,10,7,25,si,0,comprado,no,Regulador de pH
Sorbato de Potasio,MP-SORBATO-K,materia prima,ALKEM,90,,MXN,Kilogramos,16%,0,,,5,7,25,si,1,comprado,no,Conservador - controla caducidad
Agua Destilada,MP-AGUA-DESTILADA,materia prima,LABORATORIOS MTY,3,,MXN,Litros,0%,0,,,100,3,200,si,0,comprado,no,Agua para formulacion
Dimeticona,MP-DIMETICONA,materia prima,QSD,240,,MXN,Litros,16%,0,,,20,15,20,si,0,comprado,no,Silicona base lubricante
Sorbitol,MP-SORBITOL,materia prima,ALKEM,39,,MXN,Litros,16%,0,,,20,10,200,si,0,comprado,no,Humectante
Lidocaina,MP-LIDOCAINA,materia prima,SINBIOTIK,550,,MXN,Kilogramos,16%,0,,,2,20,5,si,1,comprado,no,Anestesico topico - controla caducidad
Saborizante Bubblegum,MP-SAB-BUBBLEGUM,materia prima,ROBERTET,780,,MXN,Litros,16%,0,,,3,30,10,si,1,comprado,no,Saborizante chicle - controla caducidad
Gel lubricante 60 ml,PT-GEL-60,producto,,18.50,45,MXN,Piezas,16%,0,,,50,0,0,si,1,fabricado,no,Producto terminado - con caducidad
Envase PET 60 ml,INS-ENVASE-PET-60,insumo,ESCOWILL,3.10,,MXN,Piezas,16%,0,,,500,20,1000,si,0,comprado,no,Envase tipo Boston 60 ml
Tapa Disc-Top 24/410,INS-TAPA-DISCTOP-24,insumo,MCKERNAN,1.85,,MXN,Piezas,16%,0,,,500,20,1000,si,0,comprado,no,Tapa negra disc-top
